SUBMISSIONYEARQUARTER,PWSID,PWS_ACTIVITY_CODE,POPULATION_SERVED_COUNT,STATE_CODE
2026Q2,NC0175416,A,100,NC
2026Q2,NC3001021,A,25,NC
2026Q2,NC0276550,A,175,NC
2026Q2,NC0454025,A,15494,NC
2026Q2,MN5700326,A,25,MN
2026Q2,MN5250271,A,200,MN
2026Q2,OH2860112,A,85,OH
2026Q2,OH5043912,A,40,OH
2026Q2,OH7799930,A,70,OH
2026Q2,MI2022361,A,400,MI
2026Q2,ID7100205,A,35,ID
2026Q2,ID7100203,A,1397,ID
2026Q2,MI2002624,A,90,MI
2026Q2,MI2025645,A,40,MI
2026Q2,MI2003945,A,450,MI
2026Q2,MI2121763,A,55,MI
2026Q2,MI2105263,A,30,MI
2026Q2,MN5020522,A,500,MN
2026Q2,MN1580004,A,25,MN
2026Q2,MN5690242,A,200,MN
2026Q2,OH7700031,A,34,OH
2026Q2,OH0400012,A,1019,OH
2026Q2,WY5601252,A,93,WY
2026Q2,NM3574429,A,400,NM
2026Q2,NM3527706,A,1789,NM
2026Q2,OH5436412,A,30,OH
2026Q2,OH3138812,A,45,OH
2026Q2,NJ1910322,A,62,NJ
2026Q2,NJ1920323,A,205,NJ
2026Q2,CT0170011,A,52079,CT
2026Q2,WA5398980,A,9,WA
2026Q2,WA53AD094,A,65,WA
2026Q2,WA53AD125,A,80,WA
2026Q2,MO6010970,A,65,MO
2026Q2,NC7016049,A,25,NC
2026Q2,NC0416166,A,106,NC
2026Q2,NC0416192,A,175,NC
2026Q2,NC0416186,A,80,NC
2026Q2,NC7016017,A,500,NC
2026Q2,NC0416518,A,25,NC
2026Q2,NC0416172,A,71,NC
2026Q2,NC0416160,A,113,NC
2026Q2,NM3500318,A,117,NM
2026Q2,MN1070009,A,42803,MN
2026Q2,MN5560727,A,60,MN
2026Q2,ID3370007,A,220,ID
2026Q2,MN5181093,A,25,MN
2026Q2,MN5860391,A,25,MN
2026Q2,MN5691180,A,25,MN
2026Q2,MN5690260,A,25,MN
2026Q2,MN5520063,A,25,MN
2026Q2,MN5810022,A,90,MN
2026Q2,MN5020532,A,80,MN
2026Q2,MN5560096,A,50,MN
2026Q2,MN1710002,A,13056,MN
2026Q2,MN5240024,A,75,MN
2026Q2,MN5180703,A,500,MN
2026Q2,MO5161591,A,25,MO
2026Q2,CA1000104,A,456,CA
2026Q2,CA1000190,A,732,CA
2026Q2,CA2400055,A,320,CA
2026Q2,MN5550338,A,50,MN
2026Q2,CA3610701,A,1126,CA
2026Q2,MN5180633,A,130,MN
2026Q2,CA3701909,A,500,CA
2026Q2,NM3502514,A,25,NM
2026Q2,MN5190320,A,25,MN
2026Q2,CA1502615,A,900,CA
2026Q2,CA2010801,A,3173,CA
2026Q2,MN5310471,A,125,MN
2026Q2,NC4064031,A,300,NC
2026Q2,MN5180721,A,47,MN
2026Q2,MN5480104,A,75,MN
2026Q2,NC1050068,A,50,NC
2026Q2,IA2122067,A,233,IA
2026Q2,IA3215044,A,65,IA
2026Q2,MN5340111,A,25,MN
2026Q2,ND0300553,A,427,ND
2026Q2,NM3527920,A,360,NM
