SUBMISSIONYEARQUARTER,PWSID,VIOLATION_ID,VIOLATION_CATEGORY_CODE,IS_HEALTH_BASED_IND,CONTAMINANT_CODE
2026Q2,WA5300119,0415325,MCL,Y,1040
2026Q2,CA1400083,8200017,MCL,Y,1040
2026Q2,AZ0411377,797088,MCL,Y,1040
2026Q2,CA5000311,8200122,MCL,Y,1040
2026Q2,DE0000619,12990,MCL,Y,1040
2026Q2,DE0002541,8890,MCL,Y,1040
2026Q2,FL6531265,8000020,MCL,Y,1040
2026Q2,MN1590001,4128,MCL,Y,1040
2026Q2,CA3310016,8400312,MCL,Y,1040
2026Q2,TX1520012,1239982,MCL,Y,1040
2026Q2,TX0680013,3000897,MCL,Y,1040
2026Q2,WA5351724,0258730,MCL,Y,1040
2026Q2,WA5358951,0420277,MCL,Y,1040
2026Q2,AZ0410115,1447780,MCL,Y,1040
2026Q2,MD0060217,8300103,MCL,Y,1040
2026Q2,CA2701799,8631471,MCL,Y,1040
2026Q2,MD1061009,8001035,MCL,Y,1040
2026Q2,DE0000419,3892,MCL,Y,1040
2026Q2,TX2430008,1403080,MCL,Y,1040
2026Q2,DE0003303,1293,MCL,Y,1040
2026Q2,TX0270084,191,MCL,Y,1040
2026Q2,AZ0407272,2608389,MCL,Y,1040
2026Q2,CA3610056,8300450,MCL,Y,1040
2026Q2,DE0003605,596,MCL,Y,1040
2026Q2,CA5000332,8200125,MCL,Y,1040
2026Q2,TX0120004,1218282,MCL,Y,1040
2026Q2,CA2701161,8200039,MCL,Y,1040
2026Q2,CA5700631,8417833,MCL,Y,1040
2026Q2,CA4200856,8380089,MCL,Y,1040
2026Q2,CA0706006,8410181,MCL,Y,1040
2026Q2,KS2016713,47281,MCL,Y,1040
2026Q2,CA2400135,8412552,MCL,Y,1040
2026Q2,PR0002962,3445898,MCL,Y,1040
2026Q2,TX0120001,1000698,MCL,Y,1040
2026Q2,WI6030264,9500002,MCL,Y,1038
2026Q2,DE0000598,180,MCL,Y,1040
2026Q2,CA4310006,8600398,MCL,Y,1040
2026Q2,IA2745881,1137982,MCL,Y,1040
2026Q2,CA1300540,8411151,MCL,Y,1040
2026Q2,TX2430008,436285,MCL,Y,1040
2026Q2,CA5400819,8200137,MCL,Y,1040
2026Q2,CA3301654,8200151,MCL,Y,1040
2026Q2,CA3310021,8010135,MCL,Y,1040
2026Q2,CA2700867,8413600,MCL,Y,1040
2026Q2,ID5160004,3206,MCL,Y,1040
2026Q2,PA7360353,8011816,MCL,Y,1040
2026Q2,CA3900711,8415970,MCL,Y,1040
2026Q2,DE0000202,2680,MCL,Y,1040
2026Q2,MI3920144,8615146,MCL,Y,1040
2026Q2,PA7670084,8505793,MCL,Y,1040
2026Q2,CA4300610,8380131,MCL,Y,1040
2026Q2,CA5400682,8417661,MCL,Y,1040
2026Q2,DE0000944,2492,MCL,Y,1040
2026Q2,CA4200514,8416098,MCL,Y,1040
2026Q2,WA5309300,8383110,MCL,Y,1040
2026Q2,OK2002902,101193,MCL,Y,1040
2026Q2,OK2005756,61093,MCL,Y,1040
2026Q2,VI3000459,9999900000000000002,MCL,Y,1040
2026Q2,DE0000627,1391,MCL,Y,1040
2026Q2,DE0000293,1992,MCL,Y,1040
2026Q2,IL2030200,2859386,MCL,Y,1040
2026Q2,TX2200124,1250782,MCL,Y,1040
2026Q2,TX1011582,1386880,MCL,Y,1040
2026Q2,SC1370875,1696391,MCL,Y,1040
2026Q2,MI2006864,8615347,MCL,Y,1040
2026Q2,DE0000611,798,MCL,Y,1040
2026Q2,CA1009080,8632186,MCL,Y,1040
2026Q2,CA4310006,8600399,MCL,Y,1040
2026Q2,KS2016702,8247882,MCL,Y,1040
2026Q2,MI2007514,8615221,MCL,Y,1040
2026Q2,CA5400559,8417627,MCL,Y,1040
2026Q2,CA5400599,8100248,MCL,Y,1040
2026Q2,CA5410012,8400586,MCL,Y,1040
2026Q2,CA5100112,8633910,MCL,Y,1040
2026Q2,AZ0407637,3675388,MCL,Y,1040
2026Q2,PA7210811,8538450,MCL,Y,1040
2026Q2,IA7869801,38499,MCL,Y,1040
2026Q2,MD1221001,8200429,MCL,Y,1040
2026Q2,CA3910003,8400477,MCL,Y,1040
2026Q2,MI2006864,8615067,MCL,Y,1040
2026Q2,CA3000594,8000230,MCL,Y,1040
2026Q2,DE0000562,9193,MCL,Y,1040
2026Q2,DE0000393,2280,MCL,Y,1040
2026Q2,DE0000075,1795,MCL,Y,1040
2026Q2,CA5100166,8633918,MCL,Y,1040
2026Q2,CA3900983,8415974,MCL,Y,1040
2026Q2,TX1650010,426585,MCL,Y,1040
2026Q2,DE0000944,792,MCL,Y,1040
2026Q2,KS2013913,8248782,MCL,Y,1040
2026Q2,IA7341059,9007785,MCL,Y,1040
2026Q2,CA0710004,8400058,MCL,Y,1040
2026Q2,KS2014105,46280,MCL,Y,1040
2026Q2,AZ0415505,2427190,MCL,Y,1040
2026Q2,CA0707564,8410731,MCL,Y,1040
2026Q2,AZ0407345,3563989,MCL,Y,1040
2026Q2,MO1010489,18480,MCL,Y,1040
2026Q2,CA3310044,8900341,MCL,Y,1040
2026Q2,IA6003032,9007085,MCL,Y,1040
2026Q2,CA5700725,8417876,MCL,Y,1040
2026Q2,WA5395047,2686117,MCL,Y,1040
2026Q2,AZ0415476,1250790,MCL,Y,1040
2026Q2,CA5100113,8734584,MCL,Y,1040
2026Q2,IA3956700,115385,MCL,Y,1040
2026Q2,DE0000540,8990,MCL,Y,1040
2026Q2,CA1900699,8412310,MCL,Y,1040
2026Q2,KS2008906,44680,MCL,Y,1040
2026Q2,CA3901182,8735995,MCL,Y,1040
